key,en,vi
rank.stat_peak_rank,Peak Rank,Hạng cao nhất
rank.stat_promotions,Promotions,Thăng hạng
rank.title_status_demotion,Risk of Demotion!,Nguy cơ rớt hạng!
rank.desc_status_demotion,Workout now to maintain your standing.,Tập luyện ngay để giữ vững phong độ của bạn.
rank.title_status_max,Defending the Throne,Bảo vệ ngôi vương
rank.desc_status_max,You are at the peak of the leaderboard.,Bạn đang ở đỉnh cao bảng xếp hạng.
rank.title_status_promote,Ready to Promote!,Sẵn sàng thăng hạng!
rank.desc_status_promote,You have surpassed the promotion threshold for this season.,Bạn đã vượt mốc điểm thăng hạng cho mùa giải này.
rank.title_status_safe,Safe Zone,Vùng an toàn
rank.fmt_status_safe,Great maintenance! Need {arg1} more RP to rank up.,Duy trì rất tốt! Cần thêm {arg1} RP để thăng hạng.
routines.cardio_1,Cardio 1,Cardio 1
routines.cardio_2,Cardio 2,Cardio 2
routines.full_1,Full Body 1,Toàn Thân 1
routines.full_2,Full Body 2,Toàn Thân 2
routines.full_3,Full Body 3,Toàn Thân 3
routines.hiit_1,HIIT 1,HIIT 1
routines.hiit_2,HIIT 2,HIIT 2
routines.legs_1,Legs 1,Chân 1
routines.legs_2,Legs 2,Chân 2
routines.lower_1,Lower 1,Thân Dưới 1
routines.lower_2,Lower 2,Thân Dưới 2
routines.pull_1,Pull 1,Kéo 1
routines.pull_2,Pull 2,Kéo 2
routines.push_1,Push 1,Đẩy 1
routines.push_2,Push 2,Đẩy 2
routines.upper_1,Upper 1,Thân Trên 1
routines.upper_2,Upper 2,Thân Trên 2
settings.title_account_management,Account Management,Quản lý Tài khoản
settings.msg_auth_linked,Linked (Automatic Secure Backup),Đã liên kết (Tự động sao lưu an toàn)
settings.title_auth_section,Data Protection,Bảo vệ dữ liệu
settings.msg_auth_unlinked,Unlinked (Risk of Data Loss),Chưa liên kết (Nguy cơ mất dữ liệu)
settings.title_bg_workout,Background Workout & Notifications,Chạy dưới nền & Thông báo
settings.desc_bg_workout,Allow the app to run in the background and show workout progress,Cho phép ứng dụng hoạt động dưới nền và hiển thị tiến trình bài tập
settings.title_dialog_main,App Settings,Cài đặt Ứng dụng
settings.msg_email_app_err,Could not open Email app,Không thể mở ứng dụng Email
settings.title_feedback,Feedback & Suggestions,Góp ý & Phản hồi
settings.desc_feedback,Experiencing a bug or want a new feature? Let us know:,Bạn đang gặp lỗi hoặc muốn tính năng mới? Hãy cho chúng tôi biết:
settings.hint_feedback_input,Write your feedback here...,Viết phản hồi của bạn tại đây...
settings.desc_feedback_short,Help us improve the app,Giúp chúng tôi cải thiện ứng dụng
settings.btn_feedback_submit,Submit Feedback,Gửi phản hồi
settings.msg_feedback_success,Thank you for your feedback!,Cảm ơn bạn đã đóng góp ý kiến!
settings.msg_intent_email_chooser,Open email app...,Mở ứng dụng thư điện tử...
settings.msg_intent_email_subject,Feedback for Plato App,Góp ý về ứng dụng Plato
settings.lbl_item_contact,Contact & Help,Liên hệ & Trợ giúp
settings.lbl_item_language,Language,Ngôn ngữ
settings.desc_item_tutorial,Review feature tutorial videos,Xem lại các video hướng dẫn tính năng
settings.lbl_item_version,Version,Phiên bản
settings.title_language_dialog,Select Language,Chọn ngôn ngữ
settings.title_notifications_section,Notifications,Thông báo
settings.desc_notifications_section,Receive notifications for rest reminders and workout reports,Nhận thông báo nhắc nhở thời gian nghỉ và báo cáo buổi tập
settings.title_permission_denied,Permission Denied,Quyền truy cập bị từ chối
settings.desc_permission_denied,You have previously denied notification permissions. Please open your phone's Settings and enable Notifications for this app.,Bạn đã từ chối quyền thông báo trước đó. Vui lòng mở Cài đặt của điện thoại và bật Thông báo cho ứng dụng này.
settings.msg_permission_permanently_denied,The app requires notification and activity permissions to run in the background. Please open Settings and grant them manually.,Ứng dụng cần quyền thông báo và hoạt động để có thể chạy dưới nền. Vui lòng mở Cài đặt và cấp quyền thủ công.
settings.title_restart_dialog,Restart Application,Khởi động lại ứng dụng
settings.msg_restart_dialog,The app needs to restart to apply the new language. Do you want to do it now?,Ứng dụng cần khởi động lại để áp dụng ngôn ngữ mới. Bạn có muốn thực hiện ngay bây giờ không?
settings.btn_theme_dark,Dark,Tối
settings.btn_theme_light,Light,Sáng
settings.title_theme_section,Appearance,Giao diện
settings.btn_theme_system,System,Theo hệ thống
settings.tutorial_cal_desc,"Plan your upcoming workouts, set recurring schedules, and manage your planned routines directly on the calendar.","Lên lịch tập luyện cho các ngày sắp tới, thiết lập tần suất lặp lại, và quản lý các kế hoạch ngay trên lịch."
settings.tutorial_cal_title,Track your schedule,Theo dõi lịch trình
settings.tutorial_logworkout_desc,"A detailed guide on how to start a workout, add exercises, log metrics, create supersets, and manage your rest timer.","Hướng dẫn chi tiết cách bắt đầu buổi tập, thêm bài tập, ghi lại thông số, tạo superset và quản lý thời gian nghỉ."
settings.tutorial_logworkout_title,Logging Your Workout,Thao tác trong buổi tập
settings.tutorial_nutrition_desc,"Set your weight goal, customize your nutritional targets (calories, macros), and learn how to log foods for your daily meals.","Thiết lập mục tiêu cân nặng, tùy chỉnh chỉ số dinh dưỡng (calo, macro) và cách thêm món ăn vào nhật ký hàng ngày."
settings.tutorial_nutrition_title,Control your nutrition,Kiểm soát dinh dưỡng
settings.tutorial_workout_desc,"Discover and preview available workout plans from the library, and download them to add to your personal list.","Khám phá, xem trước các giáo án tập luyện có sẵn từ thư viện và tải về để thêm vào danh sách của riêng bạn."
settings.tutorial_workout_title,Manage your workout routine,Quản lý chương trình tập
settings.desc_eula_link,End user license agreement and usage rights,Thỏa thuận cấp phép và quyền sử dụng
settings.desc_terms_link,Terms of Use and Privacy Policy,Điều khoản và Chính sách bảo mật
stats.fmt_cal_extra_sessions,+{arg1},+{arg1}
stats.title_cal_main,Workout Calendar,Lịch tập luyện
stats.fmt_cal_rest_days,{arg1} days,{arg1} ngày
stats.lbl_cal_rest_title,Rest Days,Số ngày nghỉ
stats.title_cal_select_workout_dialog,Select detailed workout,Chọn buổi tập chi tiết
stats.lbl_cal_streak_title,Week Streak,Chuỗi tuần
stats.fmt_cal_streak_weeks,{arg1} weeks,{arg1} tuần
stats.desc_cal_switch_view,Switch calendar view,Chuyển đổi giao diện lịch
stats.btn_cal_today,Today,Hôm nay
stats.fmt_cal_workout_item,{arg1} - {arg2} kg,{arg1} - {arg2} kg
stats.fmt_cal_year_title,Year {arg1},Năm {arg1}
stats.title_card_activity_history,Activity Log,Nhật ký hoạt động
stats.desc_card_activity_history,"Volume, Duration, Reps","Tải trọng, Thời gian, Số lần lặp"
stats.title_card_body_heatmap,Muscle Heatmap,Bản đồ nhiệt cơ bắp
stats.desc_card_body_heatmap,Workout distribution density,Mật độ phân bổ tập luyện
stats.title_card_load_analysis,Training Load,Tải trọng tập luyện
stats.desc_card_load_analysis,Intensity & risk analysis,Phân tích cường độ & rủi ro
stats.title_card_muscle_balance,Muscle Balance,Cân bằng cơ bắp
stats.desc_card_muscle_balance,Comprehensive development chart,Biểu đồ phát triển toàn diện
stats.msg_chart_no_data,Not enough workout data to draw this chart,Chưa có đủ dữ liệu tập luyện để vẽ biểu đồ.
stats.msg_equivalent_blacksmith,on par with the hammer swings of a master blacksmith,ngang ngửa số lần vung búa của một thợ rèn cừ khôi
stats.msg_equivalent_boeing,an entire commercial airplane,cả một chiếc máy bay dân dụng
stats.msg_equivalent_bootcamp,equal to an intense military bootcamp,bằng một khóa huấn luyện quân sự cường độ cao
stats.msg_equivalent_building,enough to finish the foundation of a large building if every rep was a brick,đủ để xây xong móng của một công trình lớn nếu mỗi lần lặp là một viên gạch
stats.msg_equivalent_bus,a large double-decker bus,một chiếc xe buýt hai tầng cỡ lớn
stats.msg_equivalent_diamond,"masterful, your muscles have been forged like cold steel!","đạt đến cảnh giới thượng thừa, cơ bắp đã được tôi luyện như thép nguội!"
stats.msg_equivalent_eagle,equivalent to the continuous wingbeats of an eagle crossing the sea,tương đương số nhịp đập cánh liên tục của một chú đại bàng vượt biển
stats.msg_equivalent_fleet,an entire naval fleet. Your strength can now move mountains and fill seas!,cả một hạm đội tàu chiến. Sức mạnh của bạn giờ có thể dời non lấp biển!
stats.msg_equivalent_flight,enough to fly around the Earth 2 times consecutively,đủ để ngồi máy bay vòng quanh Trái Đất 2 lần liên tục
stats.msg_equivalent_gym_home,proof that the gym has officially become your second home!,chứng minh phòng tập đã chính thức trở thành ngôi nhà thứ hai của bạn rồi!
stats.msg_equivalent_iss,the International Space Station,Trạm vũ trụ bay trên quỹ đạo
stats.msg_equivalent_language,enough time to learn a new language from scratch,đủ thời gian để học một ngôn ngữ mới từ con số 0
stats.msg_equivalent_machine,proof you are a tireless weightlifting machine,chứng minh bạn chính là một cỗ máy dập tạ không biết mệt mỏi
stats.msg_equivalent_marathon,more than the footsteps of someone finishing a Marathon,nhiều hơn số bước chạy của một người vừa vượt qua chặng Marathon
stats.msg_equivalent_movie,enough to binge-watch several long TV series,đủ để cày trọn vẹn vài bộ phim dài tập
stats.msg_equivalent_rhinos,several adult rhinos,vài con tê giác trưởng thành
stats.msg_equivalent_submarine,a solid submarine,một chiếc tàu ngầm nguyên khối
stats.msg_equivalent_tank,an armored battle tank,một chiếc xe tăng chiến đấu bọc thép
stats.msg_equivalent_vacation,equal to a half-month vacation... but you just worked out,bằng một kỳ nghỉ phép dài nửa tháng... nhưng bạn chỉ tập luyện
stats.msg_equivalent_walk,enough to walk the entire length of the country,đủ để đi bộ dọc theo toàn bộ chiều dài đất nước
stats.msg_equivalent_whale,a giant ocean whale,một con cá voi khổng lồ lớn nhất đại dương
stats.fmt_fun_fact_duration,"Incredible! With {arg1} hours of sweating in the last {arg2}, this time is {arg3} ⏳","Đỉnh của chóp! Với {arg1} giờ đổ mồ hôi trong {arg2}, khoảng thời gian này {arg3} ⏳"
stats.fmt_fun_fact_reps,Endurance! You performed {arg1} reps in the last {arg2}. That's truly {arg3} 🤖,Bền bỉ! Bạn đã thực hiện {arg1} lần lặp trong {arg2}. Thật sự {arg3} 🤖
stats.fmt_fun_fact_volume,Awesome! The total weight you lifted over the past {arg1} is {arg2} kg. That's equivalent to lifting {arg3}! 😱,Tuyệt vời! Tổng tạ bạn nâng trong {arg1} qua là {arg2} kg. Tương đương với việc bạn đã nhấc bổng {arg3} rồi đấy! 😱
stats.lbl_heatmap_back_body,Back,Mặt sau
stats.lbl_heatmap_front_body,Front,Mặt trước
stats.desc_heatmap_info_frequency,Displays muscle groups hit at least once in the last 7 days. Helps you quickly identify neglected weak points.,Hiển thị các nhóm cơ đã được tác động ít nhất một lần trong 1 tuần gần nhất. Giúp bạn nhanh chóng nhận ra các điểm yếu đang bị bỏ quên.
stats.lbl_heatmap_info_frequency_title,By Frequency (Last 7 Days):,Theo Tần Suất (7 ngày qua):
stats.desc_heatmap_info_general,This map visualizes your workout data to help you track the development of muscle groups on your body.,Bản đồ này trực quan hóa dữ liệu tập luyện để giúp bạn theo dõi sự phát triển của các nhóm cơ trên cơ thể.
stats.desc_heatmap_info_intensity,"Analyzes the level of stimulation and effort dedicated to each muscle group over the past month. The darker the color, the more the muscle was worked.",Phân tích mức độ kích thích và nỗ lực dành cho từng nhóm cơ trong vòng 1 tháng qua. Màu càng đậm chứng tỏ nhóm cơ đó được tập luyện càng nhiều.
stats.lbl_heatmap_info_intensity_title,By Intensity (Last 30 Days):,Theo Cường Độ (30 ngày qua):
stats.lbl_heatmap_legend_done,Worked,Đã tập
stats.lbl_heatmap_legend_extreme,Extreme,Cực độ
stats.lbl_heatmap_legend_high,High,Cao
stats.lbl_heatmap_legend_low,Low,Nhẹ
stats.lbl_heatmap_legend_medium,Med,Vừa
stats.lbl_heatmap_legend_unused,Unused,Chưa tập
stats.lbl_heatmap_mode_frequency,Frequency,Tần suất
stats.lbl_heatmap_mode_intensity,Intensity,Cường độ
stats.lbl_heatmap_select_muscle_prompt,Muscle name,Tên nhóm cơ
stats.lbl_heatmap_timeframe_frequency,Data displayed in the last 7 days,Dữ liệu hiển thị trong 7 ngày gần nhất
stats.lbl_heatmap_timeframe_intensity,Data displayed in the last 30 days,Dữ liệu hiển thị trong 30 ngày gần nhất
stats.title_hexagon_comparison_header,Comparing the last 30 days with the previous month,So sánh 30 ngày qua với tháng trước
stats.desc_hexagon_info_rank_prefix,This chart evaluates the training volume of each muscle group. The ranks ranging from,Biểu đồ này đánh giá mức độ tập luyện của từng nhóm cơ. Các mức hạng trải dài từ
stats.desc_hexagon_info_rank_suffix,indicate whether you have reached the recommended training thresholds. Focus on improving the muscle groups with lower ranks to achieve a well-rounded and balanced physique.,cho biết bạn đã tập đủ khối lượng khuyến nghị hay chưa. Hãy tập trung cải thiện những nhóm cơ đang ở hạng thấp để cơ thể phát triển toàn diện và cân đối.
stats.lbl_hexagon_legend_current,Current,Hiện tại
stats.lbl_hexagon_legend_previous,Last Month,Tháng trước
stats.title_hexagon_main,Muscle Distribution Chart,Biểu đồ Phân bổ Cơ bắp
stats.lbl_history_filter_by,Filter by:,Thống kê theo:
stats.desc_history_info_general,This chart paints the big picture of your fitness journey.,Biểu đồ này là bức tranh toàn cảnh về hành trình tập luyện của bạn.
stats.desc_history_info_metrics_duration,The hours of hard work you've put in.,Tổng số giờ bạn đã nỗ lực đổ mồ hôi.
stats.desc_history_info_metrics_reps,The total number of repetitions completed.,Tổng số lần lặp (reps) đã hoàn thành.
stats.lbl_history_info_metrics_title,Switch perspectives:,Thay đổi góc nhìn:
stats.desc_history_info_metrics_volume,The total weight you've conquered.,Tổng khối lượng tạ bạn đã chinh phục.
stats.desc_history_info_tip,Tap on any bar in the chart to see the exact numbers for that period!,Hãy chạm vào từng thanh trên biểu đồ để xem con số chi tiết của giai đoạn đó nhé!
stats.lbl_history_info_tip_title,Tip:,Mẹo:
stats.title_history_main,Activity History Chart,Biểu đồ Lịch sử hoạt động
stats.fmt_history_tooltip_data,{arg1}: {arg2} {arg3},{arg1}: {arg2} {arg3}
stats.lbl_load_acute,Acute Load,Tải trọng Cấp
stats.desc_load_acwr_ratio,Current Exertion / Tolerance Capacity,Mức độ gắng sức hiện tại / Khả năng chịu đựng
stats.fmt_load_acwr_ratio,%.2f,%.2f
stats.lbl_load_chronic,Chronic Load,Tải trọng Mãn
stats.title_load_current_acwr,Current Ratio,Tỉ lệ Hiện tại
stats.title_load_history_header,Last 12 weeks history,Lịch sử 12 tuần qua
stats.desc_load_info_acute,"Reflects your total training volume over the past week. The higher this volume, the more immediate fatigue your body is experiencing.","Phản ánh tổng khối lượng tập luyện của bạn trong tuần gần nhất. Khối lượng càng cao, cơ thể bạn đang phải chịu mức độ mệt mỏi càng lớn."
stats.lbl_load_info_acute_title,Short-term Load (Fatigue),Tải trọng ngắn hạn (Mệt mỏi)
stats.desc_load_info_acwr,This metric helps you weigh your current fatigue against your built-up fitness. It is a key indicator to show whether you are training safely or pushing too hard.,Chỉ số này giúp bạn đặt lên bàn cân giữa sự mệt mỏi hiện tại và nền tảng thể lực đã tích lũy. Đây là thước đo quan trọng để biết cơ thể bạn đang ở trạng thái an toàn hay quá sức.
stats.desc_load_info_chronic,"Your average training volume over the past 4 weeks. This represents your stamina, endurance, and the fitness foundation you have built.","Trung bình khối lượng tập luyện trong 4 tuần qua. Chỉ số này đại diện cho sự bền bỉ, sức chịu đựng và nền tảng thể dục mà bạn đã cất công xây dựng."
stats.lbl_load_info_chronic_title,Long-term Load (Fitness),Tải trọng dài hạn (Thể lực)
stats.desc_load_info_recommendation,Tip: Try to keep this ratio in the sweet spot (between 0.8 and 1.3) to maximize muscle growth and minimize the risk of injury.,Lời khuyên: Hãy duy trì tỉ lệ này trong vùng lý tưởng (từ 0.8 đến 1.3) để tối ưu hóa việc phát triển cơ bắp và hạn chế tối đa nguy cơ chấn thương.
stats.msg_load_insufficient_data,The system hasn't recorded enough data to analyze.,Hệ thống chưa ghi nhận đủ dữ liệu để phân tích.
stats.lbl_load_legend_acute,Acute (This Week),Cấp tính (Tuần này)
stats.lbl_load_legend_chronic,Chronic (4-Week Avg),Mãn tính (TB 4 tuần)
stats.title_load_main,Training Load Ratio,Tỉ lệ Tải trọng Tập luyện
stats.title_main_dash,Dashboard,Bảng Tổng quan
stats.desc_main_prompt,Select a chart for detailed analysis,Chọn một biểu đồ để phân tích chi tiết
stats.lbl_metric_duration,Total Duration,Tổng thời gian
stats.lbl_metric_reps,Total Reps,Tổng số lần lặp
stats.lbl_metric_volume,Total Volume,Tổng tải trọng
stats.lbl_model_metric_best_reps,Most Reps,Số lần lặp nhiều nhất
stats.lbl_model_metric_best_set_vol,Best Set Volume,Tải trọng tốt nhất mỗi Hiệp
stats.lbl_model_metric_best_steps,Most Steps,Số bước chân nhiều nhất
stats.lbl_model_metric_best_time,Longest Duration,Thời gian bền bỉ nhất
stats.lbl_model_metric_best_wt,Heaviest Weight,Mức tạ nặng nhất
stats.lbl_model_metric_longest_dist,Longest Distance,Quãng đường xa nhất
stats.lbl_model_metric_one_rm,Highest 1RM,Kỷ lục đẩy 1 lần lớn nhất
stats.lbl_model_metric_pace,Best Pace,Vận tốc cao nhất
stats.lbl_model_metric_ssn_reps,Total Session Reps,Tổng số lần lặp mỗi Buổi
stats.lbl_model_metric_ssn_vol,Total Session Volume,Tổng tải trọng mỗi Buổi
stats.lbl_time_range_3_months,3 Months,3 Tháng
stats.lbl_time_range_all,All Time,Toàn bộ
stats.lbl_time_range_month,1 Month,1 Tháng
stats.lbl_time_range_week,1 Week,1 Tuần
stats.lbl_time_range_year,1 Year,1 Năm
stats.unit_metric_duration,hours,giờ
tour.cal_day_desc,Tap to view past workouts or schedule new routines in the future.,Ấn vào để xem lại các buổi tập trong quá khứ hoặc lên lịch tập mới trong tương lai.
tour.cal_day_title,Logs & Schedule,Nhật ký & Lên lịch
tour.cal_toggle_desc,"Tap to switch between Month, Year, or Multi-Year calendar views.","Ấn để chuyển đổi chế độ xem của lịch theo Tháng, Năm hoặc Nhiều Năm."
tour.cal_toggle_title,View Mode,Chế độ xem
tour.library_add_cust_desc,Can't find your exercise? Create a custom one here to fit your needs.,Không tìm thấy bài bạn muốn tập? Hãy tạo bài tập tuỳ chỉnh của riêng bạn tại đây.
tour.library_add_cust_title,Custom Exercise,Bài tập tuỳ chỉnh
tour.log_dash_desc,"Use this to track time and statistics related to metrics like total load, total exercises, total sets,...","Dùng để theo dõi thời gian và thống kê các số liệu liên quan như tổng tải trọng, tổng số bài tập, tổng hiệp,..."
tour.log_dash_title,Statistics Dashboard,Bảng thống kê
tour.log_ex_options_desc,"Tap here to replace exercises, change order, combine Supersets, or remove exercises from the workout.","Bấm vào đây để thay thế bài tập, thay đổi thứ tự, ghép Superset hoặc xóa bài tập ra khỏi buổi tập."
tour.log_ex_options_title,Exercise Options,Tuỳ chọn bài tập
tour.log_fab_add_desc,"Tap here to add new exercises, change order of exercises, or cancel the workout.","Bấm vào đây để thêm bài tập mới, thay đổi thứ tự hàng loạt hoặc hủy buổi tập."
tour.log_fab_add_title,Expand,Mở rộng
tour.log_minimize_desc,"When you press this button or exit the workout, the data will still run in the background so you can view other screens without affecting your workout progress!",Khi ấn nút này hoặc thoát ra buổi tập thì dữ liệu vẫn sẽ chạy ngầm để bạn có thể xem các màn hình khác mà không ảnh hưởng tiến độ tập luyện!
tour.log_minimize_title,Minimize Workout,Thu nhỏ buổi tập
tour.log_set_row_desc,Enter your workout data and tap the circle to complete the set. The rest timer will automatically start afterward!,Nhập số liệu tập và bấm vào ô tròn để hoàn thành hiệp tập. Đồng hồ nghỉ sẽ tự động chạy ngay sau đó!
tour.log_set_row_title,Log Set,Ghi nhận Hiệp tập
tour.log_timer_play_desc,"Tap the time to adjust:
• Start from 00:00 ➔ Stopwatch
• Set a specific time ➔ Countdown

The mode locks once started. You can select a new time to reset it.","Chạm vào thời gian để thay đổi:
• Bắt đầu từ 00:00 ➔ Chế độ bấm giờ
• Nhập thời gian cụ thể ➔ Chế độ đếm ngược

Trạng thái sẽ bị khóa sau khi bắt đầu. Chọn lại thời gian để thiết lập lại từ đầu."
tour.log_timer_play_title,Smart Timer,Bộ đếm giờ thông minh
tour.nutrition_dash_desc,"Track Calories and Macros.
Tip: Tap this card to customize your daily goals!","Theo dõi lượng Calo và Macros.
Mẹo: Bấm trực tiếp vào thẻ này để tự do điều chỉnh mục tiêu của bạn!"
tour.nutrition_dash_title,Nutrition Dashboard,Tóm tắt Dinh dưỡng
tour.nutrition_history_desc,Review your past meals and track your long-term progress here.,Xem lại các bữa ăn trước đây và theo dõi tiến độ dài hạn của bạn tại đây.
tour.nutrition_meal_desc,"Log your daily meals.
Tip: Tap 'Add food', or use the Copy icon to quickly duplicate yesterday's data!","Ghi chép lượng calo nạp vào.
Mẹo: Nhấn 'Thêm thực phẩm', hoặc dùng biểu tượng Copy để sao chép nhanh dữ liệu từ hôm qua!"
tour.nutrition_meal_title,Meal Log,Nhật ký Bữa ăn
tour.nutrition_water_desc,"Stay hydrated!
Tip: Tap the card to set a target, or use +/- to log your intake.","Đừng quên uống đủ nước!
Mẹo: Bấm vào thẻ để thay đổi mục tiêu, và dùng nút +/- để ghi nhận lượng nước đã uống."
tour.nutrition_water_title,Water Tracker,Theo dõi Nước
tour.nutrition_wt_desc,"Track your progress.
Tip: Tap 'Update' to log your current weight, or the edit icon to edit your goal!","Theo dõi hành trình của bạn.
Mẹo: Bấm 'Cập nhật' để nhập cân nặng mới, hoặc biểu tượng Chỉnh sửa để thay đổi mục tiêu!"
tour.nutrition_wt_title,Weight Goal,Lộ trình Cân nặng
tour.workout_explore_desc,Tap here to explore and add professional workout Programs to your list.,Nhấn vào đây để khám phá và thêm các gói giáo án mẫu chuyên nghiệp vào danh sách của bạn.
tour.workout_folder_add_btn_title,Add Folder,Thêm Thư mục
tour.workout_folder_desc,Use this section to manage and organize your workout routines.,Dùng tính năng này để quản lý và sắp xếp các lịch tập của bạn.
tour.workout_folder_smart_empty_desc,Tap here to create a new empty folder to organize your routines.,Nhấn vào đây để tạo một thư mục trống mới và bắt đầu sắp xếp lịch tập.
tour.workout_folder_title,Routine Management,Quản lý Lịch tập
tour.workout_recovery_desc,Monitor the time and level of recovery for your muscle groups after workouts to optimize effectiveness.,Theo dõi thời gian và mức độ phục hồi của các nhóm cơ sau những buổi tập để tối ưu hóa hiệu quả.
workout.badge_1rm,1RM,1RM
workout.title_active_ssn_conflict,Active session in progress,Đang có buổi tập diễn ra
workout.msg_active_ssn_conflict,Starting a new workout will delete all data from the current session. Are you sure you want to continue?,Bắt đầu một buổi tập mới sẽ xóa toàn bộ dữ liệu của buổi tập hiện tại. Bạn có chắc chắn muốn tiếp tục?
workout.title_auto_finish,Workout Complete?,Hoàn thành buổi tập?
workout.desc_auto_finish,You've completed all sets. The workout will auto-save in 5 minutes if there are no changes.,Bạn đã hoàn thành tất cả các set. Buổi tập sẽ tự động lưu sau 5 phút nếu không có thay đổi.
workout.title_auto_finish_success,Workout Auto-Saved,Buổi tập đã được tự lưu
workout.msg_auto_finish_success,The system has automatically ended and saved your previous workout session.,Hệ thống đã tự động kết thúc và lưu lại dữ liệu buổi tập trước đó của bạn.
workout.pr_best_1rm,Best 1RM: {arg1}kg (+{arg2}kg),1RM tốt nhất: {arg1}kg (+{arg2}kg)
workout.pr_best_pace,Best Pace: {arg1} km/h (+{arg2} km/h),Vận tốc cao nhất: {arg1} km/h (+{arg2} km/h)
workout.pr_best_reps,Best Reps: {arg1} reps (+{arg2}),Số lần lặp nhiều nhất: {arg1} reps (+{arg2})
workout.pr_best_volume,Best Volume: {arg1}kg (+{arg2}kg),Tải trọng lớn nhất: {arg1}kg (+{arg2}kg)
workout.pr_best_wt,Best Weight: {arg1}kg (+{arg2}kg),Trọng lượng lớn nhất: {arg1}kg (+{arg2}kg)
workout.title_cal_day_dtl,Day Details,Chi tiết ngày
workout.lbl_copy_suffix,(Copy),(Bản sao)
workout.btn_create_empty_folder,Create Empty Folder,Tạo thư mục rỗng
workout.title_create_folder,Create Folder,Tạo thư mục
workout.title_create_routine_success,Create Workout Routine Success,Tạo lịch tập thành công!
workout.msg_create_routine_success,New workout routine has been saved to My Routines.,Lịch tập mới đã được lưu vào mục Lịch tập của tôi.
workout.title_create_superset,"Create Superset:
{base}","Ghép Superset bài:
{base}"
workout.lbl_danger_limit,{weight}kg,{weight}kg
workout.lbl_default_folder,My Routines,Lịch tập của tôi
workout.lbl_default_name,Freeform,Tự do
workout.lbl_default_routine_name,New Routine,Lịch tập mới
workout.title_delete_confirm,Confirm delete?,Xác nhận xóa?
workout.menu_delete_folder,Delete folder,Xóa bỏ thư mục
workout.msg_delete_irreversible,Data for this routine will disappear permanently.,Dữ liệu của lịch tập này sẽ biến mất vĩnh viễn.
workout.msg_diff_added,Added {count} exercises,Đã thêm {count} bài tập
workout.msg_diff_intro,You have modified the structure of this session compared to the original routine:,Bạn đã thay đổi cấu trúc của buổi tập này so với lịch tập gốc:
workout.msg_diff_prompt_save,Do you want to save these structural changes to the original Routine?,Bạn có muốn lưu các cấu trúc mới này vào lịch tập gốc không?
workout.msg_diff_removed,Removed {count} exercises,Đã xóa {count} bài tập
workout.msg_diff_reordered,Reordered exercises,Đã sắp xếp lại vị trí bài tập
workout.msg_diff_replaced,Replaced {count} exercises,Đã thay thế {count} bài tập
workout.btn_do_not_save,Don't save,Không lưu
workout.desc_drag_handle,Drag and drop,Kéo thả
workout.desc_dropset,"When you can no longer lift the weight, immediately reduce it (by about 20-30%) and continue training immediately without rest to push the muscles to their final growth limit.","Khi không thể đẩy thêm được nữa, lập tức giảm mức tạ xuống (khoảng 20-30%) và tiếp tục tập ngay lập tức không nghỉ để ép cơ bắp đến giới hạn phì đại cuối cùng."
workout.title_dtl_delete_dialog,Delete from History?,Xóa khỏi Lịch sử?
workout.msg_dtl_delete_dialog,This action will permanently delete this workout from your timeline.,Hành động này sẽ xóa vĩnh viễn buổi tập này khỏi dòng thời gian của bạn.
workout.title_dtl_exercises,Exercises Performed,Các bài tập đã thực hiện
workout.fmt_dtl_exercises_count,Completed {arg1} exercises,Đã hoàn thành {arg1} bài tập
workout.title_dtl_main,Workout Details,Chi tiết Buổi tập
workout.desc_dtl_menu,Open menu,Mở trình đơn
workout.btn_dtl_muscle_collapse,Collapse,Thu gọn lại
workout.btn_dtl_muscle_expand,View Full,Xem đầy đủ
workout.title_dtl_muscle_split,Muscles Targeted,Nhóm cơ được tác động
workout.msg_dtl_not_found,System could not find data for this workout.,Hệ thống không tìm thấy dữ liệu của buổi tập này.
workout.fmt_dtl_pr_badge,New Record {arg1},Kỷ lục mới {arg1}
workout.fmt_dtl_pr_count,{arg1} Records,{arg1} Kỷ lục
workout.lbl_dtl_rpe_unrated,Unrated,Chưa tự đánh giá
workout.fmt_dtl_rpe_value,{arg1}/10,{arg1}/10
workout.fmt_dtl_set_dist_time,"{arg1} km
{arg2}","{arg1} km
{arg2}"
workout.fmt_dtl_set_steps_time,"{arg1} steps
{arg2}","{arg1} bước
{arg2}"
workout.lbl_dtl_stat_calories,Burned,Đốt cháy
workout.lbl_dtl_stat_rpe,RPE,Độ mệt mỏi
workout.lbl_dtl_stat_sets,Total Sets,Tổng số hiệp
workout.fmt_dtl_xp_earned,{arg1},{arg1}
workout.msg_err_folder_name_empty,Please enter a folder name,Vui lòng nhập tên thư mục
workout.title_expand_superset,"Add exercises to group:
{base}","Thêm bài tập vào nhóm:
{base}"
workout.btn_explore,Explore,Khám phá
workout.desc_failure,Train beyond all limits until the muscles are completely exhausted and cannot complete any more reps with proper form. Usually only applied in the final set of an exercise.,Tập vượt qua mọi giới hạn cho đến khi cơ bắp kiệt sức hoàn toàn và không thể hoàn thành thêm bất kỳ một rep nào đúng form. Thường chỉ áp dụng ở hiệp cuối cùng của bài tập.
workout.btn_finish_now,Finish Now,Kết thúc ngay
